Platform,Country,KPI,Investment Platform Weighting,Servicing Platform Weighting
Eagle Street & BCC,UK,"Returns delivered to LPs - Improve investment performance and capital efficiency delivering to Business Plan IRR and assumed cost curves at underwriting.

Update and maintain CRM through the deal process",0.15,0.15
Eagle Street & BCC,UK,"Group Strategy
Act collaboratively across the Arrow Group to further the Group Strategic outcomes.
Align platform strategy and delivery model to actively support execution of Group Strategy ensuring consistency in priorities and performance outcomes.",0.15,0.15
Eagle Street & BCC,UK,"People & Culture;
- Maintain ESG contributions / including investment standards
- Maintain Peakon Engagement levels
- Have robust Succession & Development Plans in place",0.15,0.15
Eagle Street & BCC,UK,"Technology
Deliver measurable cost reductions by deploying process, technology, data and AI-enabled automation to streamline operations for the longer term.",0.15,0.15
Italy Combined,IT,"Returns delivered to LPs - Improve investment performance and capital efficiency delivering to Business Plan IRR and assumed cost curves at underwriting.

Update and maintain CRM through the deal process",0.15,0.15
Italy Combined,IT,"Group Strategy
Act collaboratively across the Arrow Group to further the Group Strategic outcomes.
Align platform strategy and delivery model to actively support execution of Group Strategy ensuring consistency in priorities and performance outcomes.",0.15,0.15
Italy Combined,IT,"People & Culture;
- Maintain ESG contributions / including investment standards
- Maintain Peakon Engagement levels
- Have robust Succession & Development Plans in place",0.15,0.15
Italy Combined,IT,"Technology
Deliver measurable cost reductions by deploying process, technology, data and AI-enabled automation to streamline operations for the longer term.",0.15,0.15
EI,IT,"Returns delivered to LPs - Improve investment performance and capital efficiency delivering to Business Plan IRR and assumed cost curves at underwriting.

Update and maintain CRM through the deal process",0.15,0.15
EI,IT,"Group Strategy
Act collaboratively across the Arrow Group to further the Group Strategic outcomes.
Align platform strategy and delivery model to actively support execution of Group Strategy ensuring consistency in priorities and performance outcomes.",0.15,0.15
EI,IT,"People & Culture;
- Maintain ESG contributions / including investment standards
- Maintain Peakon Engagement levels
- Have robust Succession & Development Plans in place",0.15,0.15
EI,IT,"Technology
Deliver measurable cost reductions by deploying process, technology, data and AI-enabled automation to streamline operations for the longer term.",0.15,0.15
Borio PM,IT,"Returns delivered to LPs - Improve investment performance and capital efficiency delivering to Business Plan IRR and assumed cost curves at underwriting.

Update and maintain CRM through the deal process",0.15,0.15
Borio PM,IT,"Group Strategy
Act collaboratively across the Arrow Group to further the Group Strategic outcomes.
Align platform strategy and delivery model to actively support execution of Group Strategy ensuring consistency in priorities and performance outcomes.",0.15,0.15
Borio PM,IT,"People & Culture;
- Maintain ESG contributions / including investment standards
- Maintain Peakon Engagement levels
- Have robust Succession & Development Plans in place",0.15,0.15
Borio PM,IT,"Technology
Deliver measurable cost reductions by deploying process, technology, data and AI-enabled automation to streamline operations for the longer term.",0.15,0.15
Interboden,GER,"Returns delivered to LPs - Improve investment performance and capital efficiency delivering to Business Plan IRR and assumed cost curves at underwriting.

Update and maintain CRM through the deal process",0.15,0.15
Interboden,GER,"Group Strategy
Act collaboratively across the Arrow Group to further the Group Strategic outcomes.
Align platform strategy and delivery model to actively support execution of Group Strategy ensuring consistency in priorities and performance outcomes.",0.15,0.15
Interboden,GER,"People & Culture;
- Maintain ESG contributions / including investment standards
- Maintain Peakon Engagement levels
- Have robust Succession & Development Plans in place",0.15,0.15
Interboden,GER,"Technology
Deliver measurable cost reductions by deploying process, technology, data and AI-enabled automation to streamline operations for the longer term.",0.15,0.15
Mars Ireland,IRE,"Returns delivered to LPs - Improve investment performance and capital efficiency delivering to Business Plan IRR and assumed cost curves at underwriting.

Update and maintain CRM through the deal process",0.15,0.15
Mars Ireland,IRE,"Group Strategy
Act collaboratively across the Arrow Group to further the Group Strategic outcomes.
Align platform strategy and delivery model to actively support execution of Group Strategy ensuring consistency in priorities and performance outcomes.",0.15,0.15
Mars Ireland,IRE,"People & Culture;
- Maintain ESG contributions / including investment standards
- Maintain Peakon Engagement levels
- Have robust Succession & Development Plans in place",0.15,0.15
Mars Ireland,IRE,"Technology
Deliver measurable cost reductions by deploying process, technology, data and AI-enabled automation to streamline operations for the longer term.",0.15,0.15
Portugal,PT,"Returns delivered to LPs - Improve investment performance and capital efficiency delivering to Business Plan IRR and assumed cost curves at underwriting.

Update and maintain CRM through the deal process",0.15,0.15
Portugal,PT,"Group Strategy
Act collaboratively across the Arrow Group to further the Group Strategic outcomes.
Align platform strategy and delivery model to actively support execution of Group Strategy ensuring consistency in priorities and performance outcomes.",0.15,0.15
Portugal,PT,"People & Culture;
- Maintain ESG contributions / including investment standards
- Maintain Peakon Engagement levels
- Have robust Succession & Development Plans in place",0.15,0.15
Portugal,PT,"Technology
Deliver measurable cost reductions by deploying process, technology, data and AI-enabled automation to streamline operations for the longer term.",0.15,0.15
Sagitta,IT,"Returns delivered to LPs - Improve investment performance and capital efficiency delivering to Business Plan IRR and assumed cost curves at underwriting.

Update and maintain CRM through the deal process",,0.15
Sagitta,IT,"Group Strategy
Act collaboratively across the Arrow Group to further the Group Strategic outcomes.
Align platform strategy and delivery model to actively support execution of Group Strategy ensuring consistency in priorities and performance outcomes.",,0.15
Sagitta,IT,"People & Culture;
- Maintain ESG contributions / including investment standards
- maintain ""Great Place to Work"" certification
- Have robust Succession & Development Plans in place",,0.15
Sagitta,IT,"Technology
Deliver measurable cost reductions by deploying process, technology, data and AI-enabled automation to streamline operations for the longer term.",,0.15
